# Nome         X(AU)      Y(AU)    Raio(km)     Cor(R,G,B)     Massa(kg)             Velocidade Orbital Inicial (km/s)    OrbitaEmTornoDe
Sol            0          0        696340       255,204,0      1.98847e30            0                                    Nenhum

Mercurio       0.39       0        2439.7       128,128,128    3.3011e23             47.4                                 Sol

Venus          0.72       0        6051.8       238,221,130    4.8675e24             35.0                                 Sol

Terra          1.0        0        6371         100,149,237    5.9722e24             29.8                                 Sol
Lua            0.00257    0        1737.1       200,200,200    7.342e22              1.022                                Terra

Marte          1.52       0        3389.5       193,68,14      6.4171e23             24.1                                 Sol
Phobos         0.000063   0        11.2         160,160,160    1.0659e16             2.138                                Marte

Jupiter        2.00       0        69911        223,200,142    1.8982e27             13.1                                 Sol
Io             0.00282    0        1821.6       249,249,158    8.9319e22             17.334                               Jupiter

Saturno        2.50       0        58232        234,217,173    5.6834e26             9.7                                  Sol
Titan          0.00817    0        2574.7       243,183,110    1.3452e23             5.57                                 Saturno

Urano          3.000      0        25362        174,222,224    8.6810e25             6.8                                  Sol
Titania        0.00292    0        788.4        220,216,210    3.400e21              3.64                                 Urano

Netuno         3.500      0        24622        63,104,208     1.02413e26            5.4                                  Sol
Tritao         0.00236    0        1353.4       157,174,181    2.1390e22             4.39                                 Netuno
